ACTECON;GRUANALI;antiguedad;TAMAEMP;nrotrab;riesgo;categoria;lineanegocio;modular;producto;fechainicio
24;4;13;2;11;2;4;1;2;3;2021-09-22T00:00:00.0000000
24;4;13;2;11;2;4;4;2;6;2021-10-24T00:00:00.0000000
24;4;13;2;11;2;4;3;2;4;2021-05-26T00:00:00.0000000
12;4;5;2;81;3;4;1;2;3;2021-12-15T00:00:00.0000000
12;4;5;2;81;3;4;4;2;6;2021-08-10T00:00:00.0000000
33;9;0;2;850;2;6;1;2;7;2021-04-14T00:00:00.0000000
33;9;0;2;850;2;6;1;2;7;2021-06-04T00:00:00.0000000
33;9;0;2;850;2;6;1;2;7;2021-05-26T00:00:00.0000000
93;4;18;2;86;1;6;1;2;9;2021-03-20T00:00:00.0000000
93;4;18;2;86;1;6;2;2;9;2021-10-27T00:00:00.0000000
12;4;12;2;90;3;4;2;2;9;2021-07-23T00:00:00.0000000
31;3;20;2;64;2;6;4;2;6;2021-12-11T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-09-21T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-10-05T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-10-15T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-10-15T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-10-25T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-10-28T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-10-28T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-11-09T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-11-23T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-12-02T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-12-02T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-12-16T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-12-20T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2021-12-27T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2022-01-05T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2022-01-11T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2022-02-02T00:00:00.0000000
31;3;20;2;64;2;6;1;2;7;2022-02-02T00:00:00.0000000
31;3;20;2;64;2;6;2;2;9;2021-09-02T00:00:00.0000000
24;4;8;2;17;2;4;4;2;5;2021-06-16T00:00:00.0000000
19;9;21;2;20;1;6;1;2;3;2021-11-21T00:00:00.0000000
19;9;21;2;20;1;6;1;2;3;2021-08-16T00:00:00.0000000
19;9;21;2;20;1;6;1;2;3;2021-09-26T00:00:00.0000000
19;9;21;2;20;1;6;1;2;3;2022-02-19T00:00:00.0000000
12;4;14;2;17;3;4;2;1;9;2021-03-21T00:00:00.0000000
80;4;17;2;412;1;6;2;2;9;2021-12-23T00:00:00.0000000
9;5;23;2;327;2;6;1;2;3;2021-07-24T00:00:00.0000000
